Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-4821.148	-4933.1	111.9513	0.7532573	1.188736	6.900876
6	-4811.721	-4924.017	112.2955	0.8591417	1.312619	6.60129
12	-4805.338	-4917.041	111.7029	0.769151	1.32022	6.966444
18	-4809.039	-4920.808	111.7692	0.7754137	1.232971	6.966444
24	-4801.449	-4912.965	111.516	0.7313402	1.343792	7.077192
30	-4821.694	-4931.399	109.7057	0.8078086	1.350132	8.003051
36	-4811.572	-4922.499	110.9268	0.6691222	1.241797	7.472069
42	-4806.942	-4918.047	111.1054	0.6884191	1.418092	7.289656
48	-4799.449	-4911.12	111.6711	0.7370225	1.160452	7.073988
54	-4803.033	-4914.966	111.9328	0.7642035	1.371245	6.823182
60	-4803.415	-4914.078	110.6628	0.6900203	1.262028	7.593122
66	-4798.58	-4910.081	111.501	0.7195778	1.432691	7.054293
72	-4800.525	-4912.487	111.9618	0.7789736	1.3794	6.796139
78	-4803.487	-4915.696	112.209	0.7557948	1.3794	6.675166
84	-4792.653	-4904.735	112.0816	0.6816023	1.292785	6.821552
90	-4795.663	-4907.457	111.7939	0.6653789	1.206019	7.024846
96	-4799.825	-4911.355	111.5294	0.6875595	1.282186	7.120471
102	-4804.477	-4915.365	110.8873	0.6235001	1.282186	7.499485
108	-4803.661	-4914.947	111.2866	0.7021274	1.340221	7.217757
114	-4802.23	-4913.447	111.2171	0.7343472	1.108992	7.34448
120	-4803.582	-4915.875	112.2926	0.6914658	1.201188	6.744177
126	-4808.378	-4918.349	109.971	0.7472505	1.245071	7.939862
132	-4821.587	-4933.282	111.6943	0.7753809	1.161307	7.04047
138	-4811.859	-4923.95	112.0915	0.7761948	1.136704	6.837927
144	-4811.772	-4922.712	110.9397	0.7369933	1.195094	7.450314
150	-4814.493	-4923.534	109.0414	0.7123561	1.336875	8.413207
156	-4821.148	-4931.948	110.7997	0.7458858	1.386586	7.435917
162	-4824.382	-4935.819	111.4372	0.7775811	1.08377	7.215733
168	-4823.736	-4934.576	110.8402	0.719901	1.08377	7.566863
174	-4814.04	-4925.221	111.1805	0.8083471	1.213291	7.27439
180	-4810.185	-4921.056	110.8713	0.7965937	1.298851	7.407952
186	-4806.02	-4917.941	111.9217	0.8572115	1.212889	6.849447
192	-4813.153	-4924.302	111.149	0.7341169	1.330255	7.278791
198	-4812.52	-4923.265	110.7458	0.7645436	1.273337	7.503663
204	-4807.069	-4917.602	110.533	0.785308	1.304283	7.59286
210	-4802.416	-4914.111	111.6949	0.7908686	1.37537	6.935337
216	-4814.215	-4924.906	110.6912	0.732002	1.222666	7.5733
222	-4820.711	-4931.858	111.1465	0.7199444	1.46161	7.232947
228	-4825.35	-4936.647	111.2972	0.6425151	1.532207	7.165677
234	-4807.133	-4918.163	111.03	0.7264747	1.374961	7.327688
240	-4806.768	-4916.686	109.9178	0.7266276	1.407477	7.909207
246	-4805.092	-4915.258	110.1662	0.7010308	1.281604	7.843983
252	-4803.893	-4914.179	110.2859	0.6311124	1.241888	7.835167
258	-4808.71	-4918.934	110.2242	0.6098496	1.241888	7.879484
264	-4819.541	-4929.544	110.0031	0.7832332	1.470307	7.808007
270	-4811.735	-4923.552	111.8167	0.7473376	1.426162	6.871984
276	-4804.524	-4916.7	112.1753	0.7463123	1.426162	6.678917
282	-4805.56	-4917.596	112.0361	0.7937149	1.588177	6.664475
288	-4806.264	-4917.513	111.2486	0.8546161	1.237889	7.201627
294	-4799.851	-4910.498	110.6474	0.7416068	1.316297	7.54978
300	-4791.263	-4902.901	111.6377	0.7416068	1.355986	7.000919
306	-4805.604	-4917.503	111.8985	0.7259974	1.355986	6.86882
312	-4811.101	-4921.06	109.9597	0.8080102	1.321789	7.879562
318	-4797.97	-4909.643	111.6729	0.7337138	1.24568	7.034922
324	-4802.442	-4914.156	111.7135	0.6989726	1.238738	7.034922
330	-4819.075	-4930.19	111.1144	0.5594366	1.441404	7.344523
336	-4814.191	-4924.791	110.6	0.6711627	1.219774	7.656002
342	-4823.447	-4935.522	112.0744	0.6122028	1.112576	6.947482
348	-4815.391	-4926.859	111.4675	0.8060339	1.365571	7.053801
354	-4798.55	-4908.31	109.7603	0.7292123	1.42228	7.985846
360	-4809.74	-4920.308	110.5678	0.7745686	1.265925	7.596934
366	-4816.474	-4927.083	110.6085	0.7978646	1.191188	7.596934
372	-4804.955	-4915.944	110.9881	0.7151056	1.292702	7.391733
378	-4800.743	-4912.312	111.5683	0.7180026	1.221219	7.110853
384	-4803.184	-4914.463	111.2788	0.702238	1.204002	7.282876
390	-4804.815	-4916.078	111.2625	0.6475075	1.287881	7.282876
396	-4805.428	-4916.749	111.3219	0.6094628	1.335448	7.250616
402	-4803.605	-4915.172	111.5667	0.7655795	1.244126	7.075622
408	-4789.159	-4901.035	111.8756	0.7396647	1.35231	6.875353
414	-4792.213	-4903.277	111.0643	0.7373331	1.212818	7.375049
420	-4796.353	-4907.534	111.1812	0.6103879	1.224469	7.375049
426	-4798.158	-4909.285	111.1266	0.7311787	1.14916	7.375049
432	-4800.969	-4912.88	111.9114	0.7265526	1.284611	6.892743
438	-4796.232	-4908.093	111.8619	0.7701789	1.291729	6.892743
444	-4802.397	-4913.82	111.4224	0.7636267	1.291729	7.132907
450	-4801.457	-4912.542	111.0859	0.6550587	1.233266	7.398214
456	-4797.541	-4909.905	112.3638	0.7599517	1.016258	6.76128
462	-4806.683	-4917.386	110.7028	0.8277616	1.016258	7.61748
468	-4795.077	-4905.583	110.5062	0.6201437	1.320791	7.688344
474	-4792.448	-4902.639	110.1907	0.6645829	1.238113	7.869893
480	-4802.594	-4914.116	111.5223	0.7127119	1.329422	7.090018
486	-4813.651	-4925.365	111.7138	0.7443059	1.073764	7.090018
492	-4810.439	-4923.851	113.4125	0.8553868	1.303325	6.000767
