Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
540	-4801.384	-4913.365	111.9809	0.6846017	1.403474	6.826634
546	-4800.453	-4912.667	112.2147	0.6666449	1.05055	6.874003
552	-4798.722	-4910.306	111.5836	0.8293727	1.523744	6.914262
558	-4803.458	-4913.667	110.2085	0.7519945	1.476661	7.712426
564	-4805.18	-4917.719	112.5383	0.7246992	1.306095	6.545561
570	-4801.879	-4913.494	111.6158	0.6522944	1.373296	7.053424
576	-4805.483	-4916.978	111.4958	0.8074645	1.329173	7.053424
582	-4802.322	-4914.001	111.679	0.7280136	1.205113	7.053424
588	-4803.062	-4913.891	110.8291	0.6788155	1.433047	7.436906
594	-4803.346	-4913.354	110.0077	0.7427491	1.395615	7.85755
600	-4812.979	-4923.628	110.6495	0.7162544	1.447841	7.507097
606	-4804.328	-4914.738	110.4102	0.752068	1.257651	7.696993
612	-4793.98	-4904.906	110.9262	0.7578548	1.260854	7.41619
618	-4811.539	-4923.837	112.2979	0.8306585	1.402303	6.576919
624	-4817.633	-4929.755	112.1222	0.8039632	1.638027	6.593635
630	-4801.911	-4911.877	109.9664	0.7648991	1.346236	7.888504
636	-4810.035	-4921.413	111.3784	0.7745151	1.080052	7.250843
642	-4800.459	-4911.488	111.0286	0.6859569	1.150438	7.451252
648	-4805.017	-4915.798	110.7808	0.7965002	1.310875	7.451252
654	-4804.431	-4917.617	113.1853	0.8041762	1.264239	6.170074
660	-4806.073	-4918.715	112.6417	0.8056943	1.250812	6.470547
666	-4807.504	-4919.364	111.8602	0.8284675	1.399547	6.815806
672	-4812.84	-4924.162	111.3221	0.7647508	1.443606	7.121815
678	-4813.402	-4925.026	111.6238	0.8119647	1.315979	6.987819
684	-4804.391	-4914.721	110.3295	0.7449138	1.456183	7.659688
690	-4799.303	-4909.857	110.5541	0.7843023	1.16171	7.647236
696	-4797.826	-4910.366	112.5401	0.8229057	1.24762	6.517693
702	-4801.456	-4912.274	110.8173	0.7688529	1.218256	7.488074
708	-4808.272	-4919.53	111.258	0.7249095	1.218256	7.275277
714	-4805.01	-4916.128	111.1185	0.6731434	1.251541	7.362682
720	-4817.103	-4929.223	112.1193	0.8096039	1.400639	6.685578
726	-4808.929	-4919.785	110.8559	0.7137225	1.400639	7.417153
732	-4803.668	-4914.375	110.7074	0.7381501	1.333109	7.512188
738	-4804.993	-4916.706	111.7134	0.8230644	1.488536	6.861557
744	-4811.268	-4924.318	113.0504	0.7613672	1.400957	6.206888
750	-4806.494	-4917.774	111.2799	0.7837516	1.386314	7.157939
756	-4809.825	-4920.052	110.2266	0.705242	1.402673	7.757732
762	-4801.737	-4912.081	110.3446	0.7559965	1.388866	7.673204
768	-4806.371	-4917.284	110.913	0.7607913	1.268752	7.418123
774	-4803.939	-4915.95	112.0112	0.8191234	1.412401	6.733948
780	-4803.401	-4915.756	112.3546	0.7764721	1.326711	6.607873
786	-4799.878	-4910.949	111.0706	0.6814774	1.111885	7.449948
792	-4811.156	-4922.206	111.0508	0.6476445	1.171211	7.449948
798	-4811.2	-4923.808	112.6084	0.7826632	1.336152	6.462982
804	-4803.757	-4914.642	110.8843	0.6986329	1.276386	7.463432
810	-4815.079	-4925.23	110.1507	0.6384715	1.276386	7.887968
816	-4819.423	-4930.356	110.9331	0.8445953	1.263793	7.364626
822	-4804.01	-4916.252	112.2421	0.7186868	1.22387	6.746178
